customer_id,customer_name,credit_score,geography,gender,age,tenure,balance,num_of_products,has_credit_card,is_active_member,estimated_salary,churned
33,George Morris,700,France,Male,29,2,0.00,2,0,1,1003.09,0
34,Stephanie Rogers,750,Germany,Female,37,2,0.00,2,1,1,132602.88,0
35,Edward Reed,850,Spain,Male,32,7,0.00,2,0,0,111697.59,0
36,Angela Cook,650,Germany,Female,36,5,0.00,2,1,0,110714.60,0
37,Timothy Morgan,750,France,Male,52,2,0.00,2,1,0,129650.43,1
38,Sharon Bell,700,France,Female,46,3,0.00,2,0,1,1004.50,0
39,Joseph Murphy,850,France,Male,32,3,0.00,2,1,1,147800.15,0
40,Deborah Bailey,800,France,Female,41,4,0.00,2,1,0,59748.77,0
41,Scott Cooper,690,Germany,Male,37,5,0.00,2,1,0,183287.75,0
42,Rebecca Richardson,650,France,Female,40,5,0.00,2,1,1,101347.93,0
43,Jeffrey Cox,850,France,Male,31,2,0.00,2,0,1,110472.67,0
44,Stephanie Howard,700,Spain,Female,34,4,0.00,2,1,0,111732.20,0
45,Raymond Ward,550,France,Male,43,3,0.00,2,1,1,120674.88,0
46,Donna Torres,700,France,Female,51,7,0.00,2,0,0,145479.80,1
47,Charles Perry,850,Spain,Male,42,8,0.00,2,1,1,101754.14,0
48,Carolyn Foster,650,France,Female,41,4,0.00,1,1,0,102813.88,0
49,Kevin Diaz,700,France,Male,40,7,0.00,2,0,0,83273.58,0
50,Denise Ramirez,850,Germany,Female,48,3,0.00,1,1,1,106495.47,0
51,Donald Price,690,France,Male,59,4,0.00,2,1,0,110287.28,1
52,Heather Barnes,650,Germany,Female,36,1,0.00,2,1,0,123579.16,0
53,Brian Gray,550,France,Male,43,2,0.00,2,1,1,139654.33,0
54,Sherry James,800,France,Female,28,2,0.00,2,1,1,117951.39,0
55,Gregory Watson,700,Germany,Male,33,3,0.00,2,0,0,141032.92,1
56,Teresa Brooks,650,Germany,Female,41,1,0.00,2,0,1,12502.41,0
57,Daniel Kelly,650,France,Male,30,1,0.00,2,0,0,78017.40,0
58,Anita Sanders,700,Germany,Female,32,2,0.00,2,1,1,181647.04,0
59,Patrick Bennett,650,France,Male,33,2,0.00,2,1,0,147098.86,0
60,Stephanie Ward,800,Germany,Female,35,2,0.00,2,1,1,123566.75,0
61,Jonathan Cooper,600,Spain,Male,36,8,0.00,1,0,1,124893.96,0
62,Brenda Richardson,650,France,Female,50,2,0.00,2,1,1,100838.12,0
63,Timothy Ross,650,France,Male,53,4,0.00,2,1,0,104423.15,0
64,Melissa Foster,500,France,Female,40,2,0.00,2,1,0,67936.12,0
65,Jeffrey Murphy,850,France,Male,50,1,0.00,2,0,1,99591.50,0
66,Angela Wood,700,France,Female,39,2,0.00,2,1,0,80565.84,0
67,Joshua Price,650,Germany,Male,47,2,0.00,2,0,1,1008.74,0
68,Carolyn Barnes,700,Germany,Female,51,8,0.00,2,1,1,111812.51,0
69,Steven Reed,650,Spain,Male,36,1,0.00,2,1,0,138429.56,0
70,Donna Morris,750,France,Female,28,2,0.00,2,1,1,92947.11,0
71,Jason Rivera,700,France,Male,39,2,0.00,2,0,0,135104.39,0
72,Sandra Cooper,650,Spain,Female,35,2,0.00,2,1,1,129542.86,1
73,Gregory Bailey,800,Germany,Male,31,8,0.00,2,1,1,1270.98,0
74,Michelle Murphy,650,France,Female,37,6,0.00,2,1,0,15505.66,0
75,Charles Parker,850,Spain,Male,42,2,0.00,2,1,1,130309.62,0
76,Emily Watson,850,France,Female,41,6,0.00,1,1,0,114730.78,0
77,Richard Flores,650,France,Male,55,4,0.00,2,1,0,128578.94,1
78,Stephanie Diaz,700,France,Female,39,7,0.00,2,1,1,119522.45,0
79,Patrick Hughes,650,Spain,Male,34,7,0.00,2,0,1,129713.75,0
80,Rebecca Kelly,650,France,Female,30,4,0.00,2,1,0,6147.45,0
81,Jonathan Bailey,700,France,Male,30,8,0.00,2,1,1,1840.14,0
82,Brenda Henderson,650,France,Female,30,2,0.00,2,1,1,157374.92,0
83,Steven Cooper,800,France,Male,35,8,0.00,2,1,0,132683.98,0
84,Patricia Ross,700,France,Female,48,8,0.00,2,1,1,23525.38,0
85,Matthew Foster,850,Spain,Male,47,4,0.00,2,1,0,118346.78,0
86,Lisa Gray,650,Spain,Female,37,5,0.00,2,1,1,85907.35,0
87,Daniel Price,700,Germany,Male,40,5,0.00,2,1,0,136046.74,1
88,Angela Bennett,650,France,Female,36,6,0.00,2,1,1,97752.94,0
89,Christopher Wood,550,Germany,Male,43,5,0.00,2,1,0,56654.35,0
90,Melissa Foster,700,France,Female,55,8,0.00,2,0,0,86006.65,0
91,Joshua Ward,650,France,Male,32,2,0.00,1,0,1,65631.13,0
92,Donna Perry,850,Germany,Female,53,4,0.00,2,1,1,126972.53,1
93,Mark Diaz,650,France,Male,39,2,0.00,2,1,0,144664.25,0
94,Cynthia Rogers,700,France,Female,53,8,0.00,2,0,1,64404.34,0
95,Adam Brooks,650,Spain,Male,31,6,0.00,2,1,0,127724.71,0
96,Teresa Cook,850,France,Female,28,2,0.00,2,1,1,124954.32,0
97,Joseph Parker,650,Germany,Male,36,5,0.00,2,1,0,104337.82,0
98,Michelle King,850,France,Female,30,2,0.00,2,1,1,160091.06,0
99,Steven Simmons,700,Germany,Male,35,3,0.00,2,1,1,11617.91,0
100,Heidi Bennett,650,France,Female,53,3,0.00,2,0,0,14760.52,1
144,ashraf,4,India,male,24,3,457158,4578,1,1,485796,1
